uid,Dtb_number,manufacturer,name,combustor_description,type,bp_ratio,pr,rated_thrust,Data_status,Data_superseded_on,Superseded_by_UID,Test_engine_status,Data_corr_as_Annex_16,Current_engine_status,Current_engine_status_date,hc_to,hc_co,hc_app,hc_idle,HC_number_tests,HC_number_engines,HC_avg,HC_sig,HC_min,HC_max,HC_characteristic,HC_characteristic_pct,HC_LTO_mass,co_to,co_co,co_app,co_idle,CO_number_tests,CO_number_engines,CO_avg,CO_sig,CO_min,CO_max,CO_characteristic,CO_characteristic_pct,CO_LTO_mass,nox_to,nox_co,nox_app,nox_idle,NOx_number_tests,NOx_number_engines,NOx_avg,NOx_sig,NOx_min,NOx_max,NOx_characteristic,NOx_characteristic_pct_original,NOx_characteristic_pct_CAEP2,NOx_characteristic_pct_CAEP4,NOx_characteristic_pct_CAEP6,NOx_characteristic_pct_CAEP8,NOx_compliance,NOx_LTO_mass,sn_to,sn_co,sn_app,sn_idle,SN_number_tests,SN_number_engines,sn_max,SN_sig,SN_range_min,SN_range_max,SN_characteristic,SN_characteristic_pct,Fuel_spec,Fuel_HC_ratio_min,Fuel_HC_ratio_max,Fuel_arom_min,Fuel_arom_max,fuel_to,fuel_co,fuel_app,fuel_idle,Fuel_LTO_cycle,Load_extracted,Load_extraction_power,Load_stage_bleed_CF_pct,Load_stage_bleed_power,Ambient_pressure_min,Ambient_pressure_max,Ambient_temperature_min,Ambient_temperature_max,Ambient_humidity_min,Ambient_humidity_max,Test_organization,Test_location,Test_date_initial,Test_date_final,Compliance_fuel_venting,Remark_1,Remark_2,Remark_3,Remark_4,Remark_5,Remark_6,Remark_7,Remark_8,nvpm_to,nvpm_co,nvpm_app,nvpm_idle,nvpmnum_to,nvpmnum_co,nvpmnum_app,nvpmnum_idle,wikipedia_link
20CM089,20,CFM International,LEAP-1A26/26E1,TAPS II,TF,11.1,33.3,120.6,C,Yes,01P20CM128,NME/DTEPS,Yes,,,0.02,0.02,0.04,0.29,4,2,0.38,0.05,0.33,0.43,0.49,2.5,46,0.24,0.26,2.65,21.63,4,2,27.04,1.35,25.41,28.38,30.81,26.1,3259,30.8,13.38,8.75,4.61,4,2,29.3,1.35,27.63,30.63,32.22,30.2,37.8,43.8,49.2,56.9,2.3.2 e),3535,1.3,1.17,1.31,1.25,4,2,1.56,0.15,1.47,1.82,1.83,8.1,Jet A,1.9,1.9,16.5,16.5,0.861,0.71,0.244,0.091,330,0,All,0,All,97.8,98.8,274.6,279.8,0.002,0.0032,General Electric Company,"PTO, Ohio",21/11/2016,02/12/2016,Yes,Ref. Report CRL-2201_2/Rev. 1,"Engine S/N 600-104, 600-105",SN for each LTO mode is average of max SN for test points around that power setting,AVERAGE SN (MAX) is average of maximum SN measured from all points on each run,"Certification in accordance with Part III, Chapter 2, of Amendment 8 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,,,,,,,,
20CM090,20,CFM International,LEAP-1A35A/33/33B2/32/30,TAPS II,TF,10.5,38.5,143.1,C,Yes,01P20CM132,NME/DTEPS,Yes,,,0.05,0.02,0.04,0.21,4,2,0.27,0.04,0.23,0.31,0.36,1.9,39,0.3,0.24,1.79,18.68,4,2,21.1,1.05,19.88,22.16,24.07,20.4,3019,59.74,32.35,9.95,4.85,4,2,54.47,1.83,52.3,56.3,59.93,51.2,64,71.3,78.9,89.3,2.3.2 e),7795,1.105,1.17,1.31,1.25,4,2,1.56,0.15,1.47,1.82,1.83,8.5,Jet A,1.9,1.9,16.5,16.5,1.062,0.869,0.284,0.098,380,0,All,0,All,97.8,98.8,274.6,279.8,0.002,0.0032,General Electric Company,"PTO, Ohio",21/11/2016,02/12/2016,Yes,Ref. Report CRL-2201_2/Rev. 1,"Engine S/N 600-104, 600-105",SN for each LTO mode is average of max SN for test points around that power setting,AVERAGE SN (MAX) is average of maximum SN measured from all points on each run,"Certification in accordance with Part III, Chapter 2, of Amendment 8 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,,,,,,,,
20CM091,20,CFM International,LEAP-1A26CJ,TAPS II,TF,11.1,33.3,120.6,C,Yes,01P20CM129,NME/DTEPS,Yes,,,0.02,0.02,0.04,0.29,4,2,0.38,0.05,0.33,0.43,0.49,2.5,46,0.24,0.26,2.65,21.63,4,2,27.04,1.35,25.41,28.38,30.81,26.1,3259,30.8,13.38,8.75,4.61,4,2,29.3,1.35,27.63,30.63,32.22,30.2,37.8,43.8,49.2,56.9,2.3.2 e),3535,1.3,1.17,1.31,1.25,4,2,1.56,0.15,1.47,1.82,1.83,8.1,Jet A,1.9,1.9,16.5,16.5,0.861,0.71,0.244,0.091,330,0,All,0,All,97.8,98.8,274.6,279.8,0.002,0.0032,General Electric Company,"PTO, Ohio",21/11/2016,02/12/2016,Yes,Ref. Report CRL-2201_2/Rev. 1,"Engine S/N 600-104, 600-105",SN for each LTO mode is average of max SN for test points around that power setting,AVERAGE SN (MAX) is average of maximum SN measured from all points on each run,"Certification in accordance with Part III, Chapter 2, of Amendment 8 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,,,,,,,,
20CM092,20,CFM International,LEAP-1A29,TAPS II,TF,10.7,35.5,130.3,C,Yes,01P20CM130,NME/DTEPS,Yes,,,0.04,0.02,0.04,0.25,4,2,0.33,0.04,0.28,0.37,0.43,2.2,43,0.27,0.23,2.21,20.3,4,2,24.26,1.21,22.82,25.46,27.64,23.4,3150,49.48,21.03,9.27,4.72,4,2,41.44,1.85,39.23,43.27,45.57,41.1,51.3,58.4,65.1,74.5,2.3.2 e),5396,1.105,1.17,1.31,1.25,4,2,1.56,0.15,1.47,1.82,1.83,8.3,Jet A,1.9,1.9,16.5,16.5,0.946,0.777,0.261,0.094,352,0,All,0,All,97.8,98.8,274.6,279.8,0.002,0.0032,General Electric Company,"PTO, Ohio",21/11/2016,02/12/2016,Yes,Ref. Report CRL-2201_2/Rev. 1,"Engine S/N 600-104, 600-105",SN for each LTO mode is average of max SN for test points around that power setting,AVERAGE SN (MAX) is average of maximum SN measured from all points on each run,"Certification in accordance with Part III, Chapter 2, of Amendment 8 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,,,,,,,,
20CM093,20,CFM International,LEAP-1A29CJ,TAPS II,TF,10.7,35.5,130.3,C,Yes,01P20CM131,NME/DTEPS,Yes,,,0.04,0.02,0.04,0.25,4,2,0.33,0.04,0.28,0.37,0.43,2.2,43,0.27,0.23,2.21,20.3,4,2,24.26,1.21,22.82,25.46,27.64,23.4,3150,49.48,21.03,9.27,4.72,4,2,41.44,1.85,39.23,43.27,45.57,41.1,51.3,58.4,65.1,74.5,2.3.2 e),5396,1.105,1.17,1.31,1.25,4,2,1.56,0.15,1.47,1.82,1.83,8.3,Jet A,1.9,1.9,16.5,16.5,0.946,0.777,0.261,0.094,352,0,All,0,All,97.8,98.8,274.6,279.8,0.002,0.0032,General Electric Company,"PTO, Ohio",21/11/2016,02/12/2016,Yes,Ref. Report CRL-2201_2/Rev. 1,"Engine S/N 600-104, 600-105",SN for each LTO mode is average of max SN for test points around that power setting,AVERAGE SN (MAX) is average of maximum SN measured from all points on each run,"Certification in accordance with Part III, Chapter 2, of Amendment 8 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,,,,,,,,
01P20CM127,20,CFM International,LEAP-1A24/24E1/23,TAPS II,TF,11.3,30,106.8,C,,,NME/DTEPS,Yes,,,0.02,0.02,0.05,0.37,4,2,0.52,0.06,0.45,0.57,0.67,3,55,0.24,0.41,3.53,23.79,4,2,32.34,1.7,30.21,34,36.84,31,3455,17.59,9.41,8.02,4.45,4,2,21.91,0.75,20.93,22.63,24.09,24,30,36,41,48,2.3.2 e),2341,1.3,1.17,1.31,1.25,4,2,1.56,0.15,1.47,1.82,1.83,8,Jet A,1.9,1.9,16.5,16.5,0.745,0.616,0.219,0.087,301,0,All,0,All,97.8,98.8,274.6,279.8,0.002,0.0032,General Electric Company,"PTO, Ohio",21/11/2016,02/12/2016,Yes,Ref. Report CRL-2201_2/Rev. 1,"Engine S/N 600-104, 600-105",SN for each LTO mode is average of max SN for test points around that power setting,AVERAGE SN (MAX) is average of maximum SN measured from all points on each run,"Certification in accordance with Part III, Chapter 2, of Amendment 8 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,1.354581502,1.035987181,1.850033576,0.788067431,1.07E+11,92348579067,2.76E+14,1.30E+13,
01P20CM128,20,CFM International,LEAP-1A26/26E1,TAPS II,TF,11.1,33.3,120.6,C,,,NME/DTEPS,Yes,,,0.02,0.02,0.04,0.29,4,2,0.38,0.05,0.33,0.43,0.49,2.5,46,0.24,0.26,2.65,21.63,4,2,27.04,1.35,25.41,28.38,30.81,26.1,3259,30.8,13.38,8.75,4.61,4,2,29.3,1.35,27.63,30.63,32.22,30.2,37.8,43.8,49.2,56.9,2.3.2 e),3535,1.3,1.17,1.31,1.25,4,2,1.56,0.15,1.47,1.82,1.83,8.1,Jet A,1.9,1.9,16.5,16.5,0.861,0.71,0.244,0.091,330,0,All,0,All,97.8,98.8,274.6,279.8,0.002,0.0032,General Electric Company,"PTO, Ohio",21/11/2016,02/12/2016,Yes,Ref. Report CRL-2201_2/Rev. 1,"Engine S/N 600-104, 600-105",SN for each LTO mode is average of max SN for test points around that power setting,AVERAGE SN (MAX) is average of maximum SN measured from all points on each run,"Certification in accordance with Part III, Chapter 2, of Amendment 8 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,1.627025671,1.235175411,2.988555874,0.68386059,1.20E+11,1.00E+11,4.57E+14,1.09E+13,
01P20CM129,20,CFM International,LEAP-1A26CJ,TAPS II,TF,11.1,33.3,120.6,C,,,NME/DTEPS,Yes,,,0.02,0.02,0.04,0.29,4,2,0.38,0.05,0.33,0.43,0.49,2.5,46,0.24,0.26,2.65,21.63,4,2,27.04,1.35,25.41,28.38,30.81,26.1,3259,30.8,13.38,8.75,4.61,4,2,29.3,1.35,27.63,30.63,32.22,30.2,37.8,43.8,49.2,56.9,2.3.2 e),3535,1.3,1.17,1.31,1.25,4,2,1.56,0.15,1.47,1.82,1.83,8.1,Jet A,1.9,1.9,16.5,16.5,0.861,0.71,0.244,0.091,330,0,All,0,All,97.8,98.8,274.6,279.8,0.002,0.0032,General Electric Company,"PTO, Ohio",21/11/2016,02/12/2016,Yes,Ref. Report CRL-2201_2/Rev. 1,"Engine S/N 600-104, 600-105",SN for each LTO mode is average of max SN for test points around that power setting,AVERAGE SN (MAX) is average of maximum SN measured from all points on each run,"Certification in accordance with Part III, Chapter 2, of Amendment 8 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,1.627025671,1.235175411,2.988555874,0.68386059,1.20E+11,1.00E+11,4.57E+14,1.09E+13,
01P20CM130,20,CFM International,LEAP-1A29,TAPS II,TF,10.7,35.5,130.3,C,,,NME/DTEPS,Yes,,,0.04,0.02,0.04,0.25,4,2,0.33,0.04,0.28,0.37,0.43,2.2,43,0.27,0.23,2.21,20.3,4,2,24.26,1.21,22.82,25.46,27.64,23.4,3150,49.48,21.03,9.27,4.72,4,2,41.44,1.85,39.23,43.27,45.57,41.1,51.3,58.4,65.1,74.5,2.3.2 e),5396,1.105,1.17,1.31,1.25,4,2,1.56,0.15,1.47,1.82,1.83,8.3,Jet A,1.9,1.9,16.5,16.5,0.946,0.777,0.261,0.094,352,0,All,0,All,97.8,98.8,274.6,279.8,0.002,0.0032,General Electric Company,"PTO, Ohio",21/11/2016,02/12/2016,Yes,Ref. Report CRL-2201_2/Rev. 1,"Engine S/N 600-104, 600-105",SN for each LTO mode is average of max SN for test points around that power setting,AVERAGE SN (MAX) is average of maximum SN measured from all points on each run,"Certification in accordance with Part III, Chapter 2, of Amendment 8 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,2.189466328,1.370354629,4.424721232,0.687331577,1.56E+11,1.07E+11,6.44E+14,1.79E+13,
01P20CM131,20,CFM International,LEAP-1A29CJ,TAPS II,TF,10.7,35.5,130.3,C,,,NME/DTEPS,Yes,,,0.04,0.02,0.04,0.25,4,2,0.33,0.04,0.28,0.37,0.43,2.2,43,0.27,0.23,2.21,20.3,4,2,24.26,1.21,22.82,25.46,27.64,23.4,3150,49.48,21.03,9.27,4.72,4,2,41.44,1.85,39.23,43.27,45.57,41.1,51.3,58.4,65.1,74.5,2.3.2 e),5396,1.105,1.17,1.31,1.25,4,2,1.56,0.15,1.47,1.82,1.83,8.3,Jet A,1.9,1.9,16.5,16.5,0.946,0.777,0.261,0.094,352,0,All,0,All,97.8,98.8,274.6,279.8,0.002,0.0032,General Electric Company,"PTO, Ohio",21/11/2016,02/12/2016,Yes,Ref. Report CRL-2201_2/Rev. 1,"Engine S/N 600-104, 600-105",SN for each LTO mode is average of max SN for test points around that power setting,AVERAGE SN (MAX) is average of maximum SN measured from all points on each run,"Certification in accordance with Part III, Chapter 2, of Amendment 8 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,2.189466328,1.370354629,4.424721232,0.687331577,1.56E+11,1.07E+11,6.44E+14,1.79E+13,
01P20CM132,20,CFM International,LEAP-1A35A/33/33B2/32/30,TAPS II,TF,10.5,38.5,143.1,C,,,NME/DTEPS,Yes,,,0.05,0.02,0.04,0.21,4,2,0.27,0.04,0.23,0.31,0.36,1.9,39,0.3,0.24,1.79,18.68,4,2,21.1,1.05,19.88,22.16,24.07,20.4,3019,59.74,32.35,9.95,4.85,4,2,54.47,1.83,52.3,56.3,59.93,51.2,64,71.3,78.9,89.3,2.3.2 e),7795,1.105,1.17,1.31,1.25,4,2,1.56,0.15,1.47,1.82,1.83,8.5,Jet A,1.9,1.9,16.5,16.5,1.062,0.869,0.284,0.098,380,0,All,0,All,97.8,98.8,274.6,279.8,0.002,0.0032,General Electric Company,"PTO, Ohio",21/11/2016,02/12/2016,Yes,Ref. Report CRL-2201_2/Rev. 1,"Engine S/N 600-104, 600-105",SN for each LTO mode is average of max SN for test points around that power setting,AVERAGE SN (MAX) is average of maximum SN measured from all points on each run,"Certification in accordance with Part III, Chapter 2, of Amendment 8 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,3.585504085,1.635045706,7.066721194,0.769433511,2.44E+11,1.20E+11,9.22E+14,4.59E+13,
18CM084,18,CFM International,LEAP-1B28,TAPS II,TF,8.6,41.5,130.4,C,Yes,20CM101,NME/DTEPS,Yes,,,0.05,0.04,0.05,0.57,3,1,0.74,0.09,0.66,0.84,1.15,5.9,97,0.18,0.14,1.2,14.62,3,1,17.94,0.77,16.97,18.38,21.93,18.6,2339,60.67,29.58,11.24,4.64,3,1,57.78,1.38,56.39,59.15,66.96,54.4,68,74.4,81.7,91.6,2.3.2 e),7534,0.94,0.85,1.07,0.8,3,1,1.16,0.29,0.34,0.9,1.49,6.8,Jet A,1.9,1.9,14.8,14.8,1.061,0.864,0.277,0.098,378,0,All,0,All,98.02,98.16,290.9,296.5,0.0048,0.0079,General Electric Company,"PTO, Ohio",08/03/2016,09/03/2016,Yes,Ref. GE REPORT R2013AE1161,Engine S/N 602-109/1,SMOKE NUMBER for each LTO mode is average of max SN for test points around that power setting,AVERAGE SN (MAX) is average of maximum smoke number measured from all points on each run,"Certification in accordance with Part III, Chapter 2, of Amendment 8 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,,,,,,,,
18CM085,18,CFM International,LEAP-1B28B2,TAPS II,TF,8.6,41.5,130.4,C,Yes,20CM101,NME/DTEPS,Yes,,,0.05,0.04,0.05,0.57,3,1,0.74,0.09,0.66,0.84,1.15,5.9,97,0.18,0.14,1.2,14.62,3,1,17.94,0.77,16.97,18.38,21.93,18.6,2339,60.67,29.58,11.24,4.64,3,1,57.78,1.38,56.39,59.15,66.96,54.4,68,74.4,81.7,91.6,2.3.2 e),7534,0.94,0.85,1.07,0.8,3,1,1.16,0.29,0.34,0.9,1.49,6.8,Jet A,1.9,1.9,14.8,14.8,1.061,0.864,0.277,0.098,378,0,All,0,All,98.02,98.16,290.9,296.5,0.0048,0.0079,General Electric Company,"PTO, Ohio",08/03/2016,09/03/2016,Yes,Ref. GE REPORT R2013AE1161,Engine S/N 602-109/1,SMOKE NUMBER for each LTO mode is average of max SN for test points around that power setting,AVERAGE SN (MAX) is average of maximum smoke number measured from all points on each run,"Certification in accordance with Part III, Chapter 2, of Amendment 8 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,,,,,,,,
18CM086,18,CFM International,LEAP-1B27,TAPS II,TF,8.5,39.92,124.7,C,Yes,20CM098,NME/DTEPS,Yes,,,0.04,0.04,0.05,0.65,3,1,0.85,0.1,0.76,0.95,1.31,6.7,106,0.17,0.14,1.35,15.29,3,1,19.04,0.78,18.23,19.66,23.48,19.9,2374,53.4,24,10.63,4.74,3,1,49.88,1.14,48.79,51.06,57.83,48.3,60.3,66.6,73.4,82.7,2.3.2 e),6220,0.94,0.85,1.07,0.8,3,1,1.16,0.29,0.34,0.9,1.49,6.7,Jet A,1.9,1.9,14.8,14.8,1.002,0.818,0.266,0.095,362,0,All,0,All,98.02,98.16,290.9,296.5,0.0048,0.0079,General Electric Company,"PTO, Ohio",08/03/2016,09/03/2016,Yes,Ref. GE REPORT R2013AE1161,Engine S/N 602-109/1,SMOKE NUMBER for each LTO mode is average of max SN for test points around that power setting,AVERAGE SN (MAX) is average of maximum smoke number measured from all points on each run,"Certification in accordance with Part III, Chapter 2, of Amendment 8 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,,,,,,,,
18CM087,18,CFM International,LEAP-1B25,TAPS II,TF,8.4,38.4,119.2,C,Yes,20CM096,NME/DTEPS,Yes,,,0.04,0.04,0.05,0.74,3,1,0.97,0.1,0.88,1.08,1.5,7.7,116,0.16,0.14,1.54,16.01,3,1,20.45,0.76,19.66,21.07,25.2,21.4,2438,43.67,20.68,10,4.94,3,1,43.41,0.97,42.59,44.49,50.35,43.1,53.9,60.1,66.5,75.2,2.3.2 e),5174,0.94,0.85,1.07,0.8,3,1,1.16,0.29,0.34,0.9,1.49,6.6,Jet A,1.9,1.9,14.8,14.8,0.946,0.773,0.255,0.093,348,0,All,0,All,98.02,98.16,290.9,296.5,0.0048,0.0079,General Electric Company,"PTO, Ohio",08/03/2016,09/03/2016,Yes,Ref. GE REPORT R2013AE1161,Engine S/N 602-109/1,SMOKE NUMBER for each LTO mode is average of max SN for test points around that power setting,AVERAGE SN (MAX) is average of maximum smoke number measured from all points on each run,"Certification in accordance with Part III, Chapter 2, of Amendment 8 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,,,,,,,,
20CM094,20,CFM International,LEAP-1B21,TAPS II,TF,8.5,36.8,111.3,C,Yes,01P20CM133,NME/DTEPS,Yes,,,0.04,0.04,0.05,0.71,3,1,0.96,0.09,0.66,0.84,1.47,7.5,106,0.15,0.16,1.49,16.19,3,1,21.19,0.77,16.97,18.38,26.01,22,2358,30.39,17.53,10.26,4.74,3,1,36.42,1.38,56.39,59.15,42.22,37.2,46.4,52.4,58.2,66.2,2.3.2 e),4053,0.94,0.85,1.07,0.8,3,1,1.16,0.29,0.34,0.9,1.49,6.5,Jet A,1.9,1.9,14.7,14.7,0.877,0.722,0.245,0.089,330,0,All,0,All,97.7,98.8,279.3,290.5,0.0009,0.0084,General Electric Company,"PTO, Ohio",08/03/2016,09/03/2016,Yes,Ref. GE REPORT R2013AE589 and CRL-0109b_7 Vol. 1/Rev. 0,Engine S/N 602-109/1,SN for each LTO mode is average of max SN for test points around that power setting,AVERAGE SN (MAX) is average of maximum SN measured from all points on each run,"Certification in accordance with Part III, Chapter 2, of Amendment 8 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,,,,,,,,
20CM095,20,CFM International,LEAP-1B23,TAPS II,TF,8.5,37.9,115.2,C,Yes,01P20CM134,NME/DTEPS,Yes,,,0.04,0.04,0.05,0.64,3,1,0.86,0.09,0.66,0.84,1.32,6.8,99,0.16,0.14,1.36,15.61,3,1,20.06,0.77,16.97,18.38,24.62,20.9,2312,38.19,18.11,10.7,4.63,3,1,39.68,1.38,56.39,59.15,46,39.7,49.6,55.5,61.5,69.7,2.3.2 e),4573,0.94,0.85,1.07,0.8,3,1,1.16,0.29,0.34,0.9,1.49,6.6,Jet A,1.9,1.9,14.7,14.7,0.916,0.752,0.253,0.091,340,0,All,0,All,97.7,98.8,279.3,290.5,0.0009,0.0084,General Electric Company,"PTO, Ohio",08/03/2016,09/03/2016,Yes,Ref. GE REPORT R2013AE589 and CRL-0109b_7 Vol. 1/Rev. 0,Engine S/N 602-109/1,SN for each LTO mode is average of max SN for test points around that power setting,AVERAGE SN (MAX) is average of maximum SN measured from all points on each run,"Certification in accordance with Part III, Chapter 2, of Amendment 8 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,,,,,,,,
20CM096,20,CFM International,LEAP-1B25,TAPS II,TF,8.4,40.135,119.2,C,Yes,01P20CM135,NME/DTEPS,Yes,,,0.04,0.04,0.05,0.59,3,1,0.78,0.09,0.66,0.84,1.2,6.1,93,0.17,0.14,1.25,15.27,3,1,18.94,0.77,16.97,18.38,23.25,19.7,2257,48.9,20.35,11.1,4.57,3,1,45.46,1.38,56.39,59.15,52.7,43.8,54.8,60.4,66.5,74.9,2.3.2 e),5417,0.94,0.85,1.07,0.8,3,1,1.16,0.29,0.34,0.9,1.49,6.6,Jet A,1.9,1.9,14.7,14.7,0.96,0.784,0.26,0.091,348,0,All,0,All,97.7,98.8,279.3,290.5,0.0009,0.0084,General Electric Company,"PTO, Ohio",08/03/2016,09/03/2016,Yes,Ref. GE REPORT R2013AE589 and CRL-0109b_7 Vol. 1/Rev. 0,Engine S/N 602-109/1,SN for each LTO mode is average of max SN for test points around that power setting,AVERAGE SN (MAX) is average of maximum SN measured from all points on each run,"Certification in accordance with Part III, Chapter 2, of Amendment 8 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,,,,,,,,
20CM097,20,CFM International,LEAP-1B28BBJ2,TAPS II,TF,8.3,40.5,124.7,C,Yes,01P20CM139,NME/DTEPS,Yes,,,0.05,0.04,0.05,0.51,3,1,0.68,0.09,0.66,0.84,1.05,5.4,85,0.17,0.14,1.11,14.4,3,1,17.81,0.77,16.97,18.38,21.86,18.5,2221,55.26,23.26,11.59,4.59,3,1,50.72,1.38,56.39,59.15,58.79,48.6,60.7,66.8,73.5,82.7,2.3.2 e),6326,0.94,0.85,1.07,0.8,3,1,1.16,0.29,0.34,0.9,1.49,6.7,Jet A,1.9,1.9,14.7,14.7,1.014,0.826,0.273,0.095,365,0,All,0,All,97.7,98.8,279.3,290.5,0.0009,0.0084,General Electric Company,"PTO, Ohio",08/03/2016,09/03/2016,Yes,Ref. GE REPORT R2013AE589 and CRL-0109b_7 Vol. 1/Rev. 0,Engine S/N 602-109/1,SN for each LTO mode is average of max SN for test points around that power setting,AVERAGE SN (MAX) is average of maximum SN measured from all points on each run,"Certification in accordance with Part III, Chapter 2, of Amendment 8 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,,,,,,,,
20CM098,20,CFM International,LEAP-1B27,TAPS II,TF,8.3,40.5,124.7,C,Yes,01P20CM136,NME/DTEPS,Yes,,,0.05,0.04,0.05,0.51,3,1,0.68,0.09,0.66,0.84,1.05,5.4,85,0.17,0.14,1.11,14.4,3,1,17.81,0.77,16.97,18.38,21.86,18.5,2221,55.26,23.26,11.59,4.59,3,1,50.72,1.38,56.39,59.15,58.79,48.6,60.7,66.8,73.5,82.7,2.3.2 e),6326,0.94,0.85,1.07,0.8,3,1,1.16,0.29,0.34,0.9,1.49,6.7,Jet A,1.9,1.9,14.7,14.7,1.014,0.826,0.273,0.095,365,0,All,0,All,97.7,98.8,279.3,290.5,0.0009,0.0084,General Electric Company,"PTO, Ohio",08/03/2016,09/03/2016,Yes,Ref. GE REPORT R2013AE589 and CRL-0109b_7 Vol. 1/Rev. 0,Engine S/N 602-109/1,SN for each LTO mode is average of max SN for test points around that power setting,AVERAGE SN (MAX) is average of maximum SN measured from all points on each run,"Certification in accordance with Part III, Chapter 2, of Amendment 8 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,,,,,,,,
20CM099,20,CFM International,LEAP-1B28B2C,TAPS II,TF,8.3,40.5,124.7,C,Yes,01P20CM137,NME/DTEPS,Yes,,,0.05,0.04,0.05,0.51,3,1,0.68,0.09,0.66,0.84,1.05,5.4,85,0.17,0.14,1.11,14.4,3,1,17.81,0.77,16.97,18.38,21.86,18.5,2221,55.26,23.26,11.59,4.59,3,1,50.72,1.38,56.39,59.15,58.79,48.6,60.7,66.8,73.5,82.7,2.3.2 e),6326,0.94,0.85,1.07,0.8,3,1,1.16,0.29,0.34,0.9,1.49,6.7,Jet A,1.9,1.9,14.7,14.7,1.014,0.826,0.273,0.095,365,0,All,0,All,97.7,98.8,279.3,290.5,0.0009,0.0084,General Electric Company,"PTO, Ohio",08/03/2016,09/03/2016,Yes,Ref. GE REPORT R2013AE589 and CRL-0109b_7 Vol. 1/Rev. 0,Engine S/N 602-109/1,SN for each LTO mode is average of max SN for test points around that power setting,AVERAGE SN (MAX) is average of maximum SN measured from all points on each run,"Certification in accordance with Part III, Chapter 2, of Amendment 8 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,,,,,,,,
20CM100,20,CFM International,LEAP-1B28BBJ1,TAPS II,TF,8.3,42,130.4,C,Yes,01P20CM138,NME/DTEPS,Yes,,,0.05,0.04,0.05,0.46,3,1,0.61,0.09,0.66,0.84,0.94,4.8,79,0.18,0.15,0.99,13.77,3,1,16.68,0.77,16.97,18.38,20.48,17.4,2176,64.36,29.59,11.92,4.68,3,1,60.1,1.38,56.39,59.15,69.66,56.2,70.2,76.6,84,94,2.3.2 e),7837,0.94,0.85,1.07,0.8,3,1,1.16,0.29,0.34,0.9,1.49,6.8,Jet A,1.9,1.9,14.7,14.7,1.075,0.873,0.285,0.097,380,0,All,0,All,97.7,98.8,279.3,290.5,0.0009,0.0084,General Electric Company,"PTO, Ohio",08/03/2016,09/03/2016,Yes,Ref. GE REPORT R2013AE589 and CRL-0109b_7 Vol. 1/Rev. 0,Engine S/N 602-109/1,SN for each LTO mode is average of max SN for test points around that power setting,AVERAGE SN (MAX) is average of maximum SN measured from all points on each run,"Certification in accordance with Part III, Chapter 2, of Amendment 8 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,,,,,,,,
